date,year,month,day,adj_close
7/18/14,2014,7,18,91.493123
7/21/14,2014,7,21,91.018364
7/22/14,2014,7,22,91.774104
7/23/14,2014,7,23,94.167286
7/24/14,2014,7,24,94.012258
7/25/14,2014,7,25,94.632353
7/28/14,2014,7,28,95.940365
7/29/14,2014,7,29,95.32027
7/30/14,2014,7,30,95.097428
7/31/14,2014,7,31,92.626733
8/1/14,2014,8,1,93.140248
8/4/14,2014,8,4,92.617042
8/5/14,2014,8,5,92.161665
8/6/14,2014,8,6,92.006638
8/7/14,2014,8,7,91.996907
8/8/14,2014,8,8,92.250068
8/11/14,2014,8,11,93.467216
8/12/14,2014,8,12,93.447745
8/13/14,2014,8,13,94.684364
8/14/14,2014,8,14,94.937533
8/15/14,2014,8,15,95.404921
8/18/14,2014,8,18,96.553909
8/19/14,2014,8,19,97.887898
8/20/14,2014,8,20,97.926848
8/21/14,2014,8,21,97.936587
8/22/14,2014,8,22,98.657136
8/25/14,2014,8,25,98.871356
8/26/14,2014,8,26,98.238437
8/27/14,2014,8,27,99.445846
8/28/14,2014,8,28,99.562695
8/29/14,2014,8,29,99.806124
9/2/14,2014,9,2,100.585102
9/3/14,2014,9,3,96.33969
9/4/14,2014,9,4,95.541241
9/5/14,2014,9,5,96.3689
9/8/14,2014,9,8,95.774931
9/9/14,2014,9,9,95.414653
9/10/14,2014,9,10,98.345547
9/11/14,2014,9,11,98.764246
9/12/14,2014,9,12,98.988204
9/15/14,2014,9,15,98.958987
9/16/14,2014,9,16,98.209227
9/17/14,2014,9,17,98.910305
9/18/14,2014,9,18,99.114785
9/19/14,2014,9,19,98.306597
9/22/14,2014,9,22,98.403968
9/23/14,2014,9,23,99.942444
9/24/14,2014,9,24,99.075836
9/25/14,2014,9,25,95.297811
9/26/14,2014,9,26,98.102117
9/29/14,2014,9,29,97.478938
9/30/14,2014,9,30,98.102117
10/1/14,2014,10,1,96.57338
10/2/14,2014,10,2,97.274458
10/3/14,2014,10,3,97.001818
10/6/14,2014,10,6,97.001818
10/7/14,2014,10,7,96.154681
10/8/14,2014,10,8,98.150806
10/9/14,2014,10,9,98.365018
10/10/14,2014,10,10,98.082646
10/13/14,2014,10,13,97.18682
10/14/14,2014,10,14,96.154681
10/15/14,2014,10,15,94.976482
10/16/14,2014,10,16,93.730124
10/17/14,2014,10,17,95.103063
10/20/14,2014,10,20,97.138138
10/21/14,2014,10,21,99.776914
10/22/14,2014,10,22,100.283244
10/23/14,2014,10,23,102.07489
10/24/14,2014,10,24,102.454639
10/27/14,2014,10,27,102.34753
10/28/14,2014,10,28,103.934688
10/29/14,2014,10,29,104.518917
10/30/14,2014,10,30,104.168385
10/31/14,2014,10,31,105.161575
11/3/14,2014,11,3,106.524782
11/4/14,2014,11,4,105.745804
11/5/14,2014,11,5,105.998973
11/6/14,2014,11,6,106.302129
11/7/14,2014,11,7,106.605296
11/10/14,2014,11,10,106.429266
11/11/14,2014,11,11,107.28007
11/12/14,2014,11,12,108.795881
11/13/14,2014,11,13,110.331247
11/14/14,2014,11,14,111.661247
11/17/14,2014,11,17,111.475435
11/18/14,2014,11,18,112.922791
11/19/14,2014,11,19,112.140435
11/20/14,2014,11,20,113.744257
11/21/14,2014,11,21,113.900731
11/24/14,2014,11,24,116.013079
11/25/14,2014,11,25,115.005801
11/26/14,2014,11,26,116.374919
11/28/14,2014,11,28,116.306464
12/1/14,2014,12,1,112.531613
12/2/14,2014,12,2,112.101317
12/3/14,2014,12,3,113.372642
12/4/14,2014,12,4,112.942346
12/5/14,2014,12,5,112.463157
12/8/14,2014,12,8,109.920514
12/9/14,2014,12,9,111.602573
12/10/14,2014,12,10,109.480436
12/11/14,2014,12,11,109.157721
12/12/14,2014,12,12,107.309414
12/15/14,2014,12,15,105.842504
12/16/14,2014,12,16,104.395148
12/17/14,2014,12,17,106.996474
12/18/14,2014,12,18,110.164999
12/19/14,2014,12,19,109.314188
12/22/14,2014,12,22,110.448602
12/23/14,2014,12,23,110.057425
12/24/14,2014,12,24,109.539117
12/26/14,2014,12,26,111.475435
12/29/14,2014,12,29,111.397206
12/30/14,2014,12,30,110.037862
12/31/14,2014,12,31,107.94507
1/2/15,2015,1,2,106.918237
1/5/15,2015,1,5,103.906178
1/6/15,2015,1,6,103.91596
1/7/15,2015,1,7,105.373089
1/8/15,2015,1,8,109.421762
1/9/15,2015,1,9,109.539117
1/12/15,2015,1,12,106.84
1/13/15,2015,1,13,107.788603
1/14/15,2015,1,14,107.37787
1/15/15,2015,1,15,104.463604
1/16/15,2015,1,16,103.651911
